osmid=77235, latitude=45.684317, longitude=5.0446644
osmid=102631, latitude=45.5685565, longitude=5.0128223
osmid=42302, latitude=45.7428795, longitude=4.9191522
osmid=33865, latitude=45.7444161, longitude=4.87451
osmid=109529, latitude=45.8636739, longitude=4.7201599
osmid=125901, latitude=45.7615375, longitude=4.7177866
osmid=117117, latitude=45.9807042, longitude=4.6974225
osmid=116579, latitude=45.7131044, longitude=4.7352068
osmid=60204, latitude=45.7708027, longitude=4.9408929
osmid=5979, latitude=45.6421925, longitude=5.1254808
osmid=129379, latitude=45.7506984, longitude=4.7729436
osmid=136110, latitude=45.7306183, longitude=4.8699046
osmid=116855, latitude=45.8631963, longitude=4.849493
osmid=134143, latitude=45.82886, longitude=4.6121756
osmid=126314, latitude=45.5411501, longitude=4.9252668
osmid=73776, latitude=45.8190198, longitude=4.9043752
osmid=154682, latitude=45.7332714, longitude=4.6948255
osmid=12378, latitude=45.5710983, longitude=4.6804953
osmid=36090, latitude=45.9518935, longitude=4.762157
osmid=4318, latitude=45.7622507, longitude=4.8025755
osmid=123051, latitude=45.5407298, longitude=4.8716053
osmid=69427, latitude=45.7417171, longitude=4.8603539
osmid=137190, latitude=45.9212902, longitude=4.8259544
osmid=58120, latitude=45.5174028, longitude=4.8379275
osmid=155018, latitude=45.538189, longitude=4.5965322
osmid=39242, latitude=45.9664757, longitude=4.8698139
osmid=77722, latitude=45.7543604, longitude=4.8453776
osmid=92019, latitude=45.7118471, longitude=4.7445157
osmid=42279, latitude=45.5906812, longitude=4.7984186
osmid=5743, latitude=45.7324741, longitude=5.0092646
osmid=120009, latitude=45.7893562, longitude=4.8475611
osmid=148169, latitude=45.6051145, longitude=4.8661839
osmid=80060, latitude=45.7625511, longitude=4.9607416
osmid=71806, latitude=45.8817385, longitude=4.6534437
osmid=18716, latitude=45.6213243, longitude=4.6174197
osmid=44123, latitude=45.7815523, longitude=4.891244
osmid=112555, latitude=45.8976814, longitude=4.8278721
osmid=25021, latitude=45.7397678, longitude=4.7163821
osmid=116640, latitude=45.7848479, longitude=4.9113072
osmid=39343, latitude=45.994963, longitude=4.7109977
osmid=148904, latitude=45.7020865, longitude=4.8780648
osmid=63920, latitude=45.6907061, longitude=5.1194327
osmid=111763, latitude=45.6782318, longitude=5.0429848
osmid=148679, latitude=45.9156032, longitude=4.6845643
osmid=95336, latitude=45.882717, longitude=4.7451691
osmid=153880, latitude=45.8549251, longitude=5.1280671
osmid=84189, latitude=45.6565097, longitude=5.1104989
osmid=64790, latitude=45.7157274, longitude=4.7974914
osmid=68570, latitude=45.9580658, longitude=4.6464357
osmid=135877, latitude=45.6746881, longitude=4.5932995
osmid=83319, latitude=45.5760507, longitude=4.7689642
osmid=68631, latitude=45.7986703, longitude=4.6257345
osmid=96919, latitude=45.8153738, longitude=4.6417619
osmid=153307, latitude=45.8516334, longitude=4.7082467
osmid=108642, latitude=45.8195043, longitude=4.8761366
osmid=110361, latitude=45.5920076, longitude=4.8284183
osmid=46846, latitude=45.8198847, longitude=5.018432
osmid=100150, latitude=45.6745069, longitude=5.0497937
osmid=62083, latitude=45.766676, longitude=5.0061919
osmid=110799, latitude=45.9094873, longitude=4.6206606
osmid=38279, latitude=45.7425224, longitude=4.7753243
osmid=25667, latitude=45.7435534, longitude=4.707281
osmid=8522, latitude=45.6781931, longitude=4.6984113
