osmid=15178, latitude=45.838663, longitude=4.7456597
osmid=18386, latitude=45.7111344, longitude=5.1254589
osmid=141236, latitude=45.5869306, longitude=4.756434
osmid=54416, latitude=45.7896353, longitude=4.7629045
osmid=150788, latitude=45.8008074, longitude=4.8521816
osmid=110195, latitude=45.7727555, longitude=4.8315897
osmid=101671, latitude=45.8766934, longitude=4.7258596
osmid=12654, latitude=45.629163, longitude=5.1500005
osmid=73594, latitude=45.7439127, longitude=4.8501526
osmid=57703, latitude=45.7020826, longitude=5.0217257
osmid=71972, latitude=45.7653299, longitude=4.8142389
osmid=81134, latitude=45.668693, longitude=4.9047012
osmid=152296, latitude=45.7949985, longitude=4.6217606
osmid=124329, latitude=45.9460846, longitude=4.6973232
osmid=54415, latitude=45.9427116, longitude=4.713098
osmid=153886, latitude=45.8952205, longitude=4.7007265
osmid=31848, latitude=45.7162493, longitude=4.8548779
osmid=138283, latitude=45.8259424, longitude=4.9579559
osmid=75755, latitude=45.8512815, longitude=4.9094627
osmid=73838, latitude=45.7576664, longitude=4.9228203
osmid=56851, latitude=45.7919883, longitude=4.7766237
osmid=41234, latitude=45.6611449, longitude=5.1324951
osmid=69019, latitude=45.6044913, longitude=4.7829005
osmid=91980, latitude=45.7613964, longitude=4.7466148
osmid=67956, latitude=45.8624917, longitude=4.67041
osmid=89599, latitude=45.7552095, longitude=4.8719052
osmid=51061, latitude=45.838176, longitude=5.0939815
osmid=53730, latitude=45.692684, longitude=4.8698465
osmid=50391, latitude=45.5484437, longitude=5.0697892
osmid=133221, latitude=45.7745306, longitude=4.7936621
